date,Open,High,Low,Close,Volume,TimeDelta,DT
2018-09-21 12:49:00,292.645,292.65,292.63,292.6433,40424.0,45000.0,2018-09-21 12:49:00
2018-09-21 12:50:00,292.63,292.635,292.62,292.635,14481.0,45000.0,2018-09-21 12:50:00
2018-09-21 12:51:00,292.649,292.675,292.61,292.615,39729.0,45000.0,2018-09-21 12:51:00
2018-09-21 12:52:00,292.63,292.64,292.6,292.63,24883.0,45000.0,2018-09-21 12:52:00
2018-09-21 12:53:00,292.65,292.665,292.63,292.665,23194.0,45000.0,2018-09-21 12:53:00
2018-09-21 12:54:00,292.68,292.7,292.66,292.6675,57221.0,45000.0,2018-09-21 12:54:00
2018-09-21 12:55:00,292.666,292.67,292.65,292.655,43982.0,45000.0,2018-09-21 12:55:00
2018-09-21 12:56:00,292.64,292.64,292.585,292.595,19088.0,45000.0,2018-09-21 12:56:00
2018-09-21 12:57:00,292.63,292.63,292.59,292.59,36525.0,45000.0,2018-09-21 12:57:00
2018-09-21 12:58:00,292.59,292.62,292.57,292.61,35555.0,45000.0,2018-09-21 12:58:00
2018-09-21 12:59:00,292.605,292.65,292.605,292.61,30030.0,45000.0,2018-09-21 12:59:00
2018-09-21 13:00:00,292.62,292.63,292.58,292.63,207683.0,45000.0,2018-09-21 13:00:00
2018-09-21 13:01:00,292.6149,292.62,292.59,292.62,31204.0,45000.0,2018-09-21 13:01:00
2018-09-21 13:02:00,292.62,292.63,292.5999,292.63,21612.0,45000.0,2018-09-21 13:02:00
2018-09-21 13:03:00,292.62,292.62,292.59,292.595,14737.0,45000.0,2018-09-21 13:03:00
2018-09-21 13:04:00,292.58,292.585,292.565,292.576,93697.0,45000.0,2018-09-21 13:04:00
2018-09-21 13:05:00,292.56,292.63,292.56,292.61,38365.0,45000.0,2018-09-21 13:05:00
2018-09-21 13:06:00,292.59,292.59,292.55,292.57,42588.0,45000.0,2018-09-21 13:06:00
2018-09-21 13:07:00,292.58,292.59,292.555,292.58,50786.0,45000.0,2018-09-21 13:07:00
2018-09-21 13:08:00,292.57,292.58,292.544,292.55,52782.0,45000.0,2018-09-21 13:08:00
2018-09-21 13:09:00,292.545,292.545,292.505,292.52,64433.0,45000.0,2018-09-21 13:09:00
2018-09-21 13:10:00,292.5153,292.54,292.51,292.51,42727.0,45000.0,2018-09-21 13:10:00
2018-09-21 13:11:00,292.51,292.52,292.49,292.49,50740.0,45000.0,2018-09-21 13:11:00
2018-09-21 13:12:00,292.49,292.58,292.485,292.57,99194.0,45000.0,2018-09-21 13:12:00
2018-09-21 13:13:00,292.57,292.57,292.52,292.52,45002.0,45000.0,2018-09-21 13:13:00
2018-09-21 13:14:00,292.51,292.525,292.485,292.485,39028.0,45000.0,2018-09-21 13:14:00
2018-09-21 13:15:00,292.49,292.56,292.49,292.56,26814.0,45000.0,2018-09-21 13:15:00
2018-09-21 13:16:00,292.56,292.58,292.56,292.57,84303.0,45000.0,2018-09-21 13:16:00
2018-09-21 13:17:00,292.59,292.5999,292.565,292.575,35355.0,45000.0,2018-09-21 13:17:00
2018-09-21 13:18:00,292.565,292.6,292.555,292.59,80614.0,45000.0,2018-09-21 13:18:00
2018-09-21 13:19:00,292.595,292.62,292.59,292.61,40118.0,45000.0,2018-09-21 13:19:00
2018-09-21 13:20:00,292.61,292.61,292.58,292.61,69764.0,45000.0,2018-09-21 13:20:00
2018-09-21 13:21:00,292.61,292.61,292.6,292.6,15091.0,45000.0,2018-09-21 13:21:00
2018-09-21 13:22:00,292.59,292.61,292.585,292.61,24350.0,45000.0,2018-09-21 13:22:00
2018-09-21 13:23:00,292.61,292.65,292.61,292.65,62543.0,45000.0,2018-09-21 13:23:00
2018-09-21 13:24:00,292.64,292.665,292.62,292.62,55701.0,45000.0,2018-09-21 13:24:00
2018-09-21 13:25:00,292.62,292.62,292.6,292.605,34356.0,45000.0,2018-09-21 13:25:00
2018-09-21 13:26:00,292.58,292.62,292.58,292.62,45190.0,45000.0,2018-09-21 13:26:00
2018-09-21 13:27:00,292.62,292.62,292.5685,292.6,33321.0,45000.0,2018-09-21 13:27:00
2018-09-21 13:28:00,292.61,292.619,292.575,292.595,49564.0,45000.0,2018-09-21 13:28:00
2018-09-21 13:29:00,292.59,292.59,292.52,292.53,85066.0,45000.0,2018-09-21 13:29:00
2018-09-21 13:30:00,292.53,292.57,292.52,292.555,85913.0,45000.0,2018-09-21 13:30:00
2018-09-21 13:31:00,292.55,292.56,292.53,292.55,49624.0,45000.0,2018-09-21 13:31:00
2018-09-21 13:32:00,292.5594,292.56,292.53,292.53,21547.0,45000.0,2018-09-21 13:32:00
2018-09-21 13:33:00,292.53,292.535,292.5,292.53,47271.0,45000.0,2018-09-21 13:33:00
2018-09-21 13:34:00,292.52,292.52,292.49,292.49,26969.0,45000.0,2018-09-21 13:34:00
2018-09-21 13:35:00,292.5,292.5,292.47,292.47,96182.0,45000.0,2018-09-21 13:35:00
2018-09-21 13:36:00,292.47,292.47,292.435,292.435,268377.0,45000.0,2018-09-21 13:36:00
2018-09-21 13:37:00,292.44,292.5,292.44,292.5,34851.0,45000.0,2018-09-21 13:37:00
2018-09-21 13:38:00,292.5,292.51,292.47,292.475,50223.0,45000.0,2018-09-21 13:38:00
2018-09-21 13:39:00,292.48,292.5,292.48,292.5,28339.0,45000.0,2018-09-21 13:39:00
2018-09-21 13:40:00,292.5,292.52,292.5,292.52,20601.0,45000.0,2018-09-21 13:40:00
2018-09-21 13:41:00,292.52,292.53,292.515,292.53,90797.0,45000.0,2018-09-21 13:41:00
2018-09-21 13:42:00,292.54,292.54,292.495,292.495,49434.0,45000.0,2018-09-21 13:42:00
2018-09-21 13:43:00,292.495,292.52,292.495,292.5,89578.0,45000.0,2018-09-21 13:43:00
2018-09-21 13:44:00,292.51,292.54,292.51,292.54,37528.0,45000.0,2018-09-21 13:44:00
2018-09-21 13:45:00,292.55,292.55,292.51,292.53,35999.0,45000.0,2018-09-21 13:45:00
2018-09-21 13:46:00,292.525,292.53,292.52,292.53,15873.0,45000.0,2018-09-21 13:46:00
2018-09-21 13:47:00,292.53,292.53,292.46,292.48,37761.0,45000.0,2018-09-21 13:47:00
2018-09-21 13:48:00,292.47,292.5,292.45,292.5,60996.0,45000.0,2018-09-21 13:48:00
2018-09-21 13:49:00,292.5,292.5,292.44,292.46,153067.0,45000.0,2018-09-21 13:49:00
2018-09-21 13:50:00,292.45,292.485,292.42,292.46,84864.0,45000.0,2018-09-21 13:50:00
2018-09-21 13:51:00,292.47,292.49,292.43,292.44,43739.0,45000.0,2018-09-21 13:51:00
2018-09-21 13:52:00,292.46,292.46,292.32,292.35,132182.0,45000.0,2018-09-21 13:52:00
2018-09-21 13:53:00,292.36,292.44,292.36,292.44,120879.0,45000.0,2018-09-21 13:53:00
2018-09-21 13:54:00,292.43,292.45,292.43,292.44,45027.0,45000.0,2018-09-21 13:54:00
2018-09-21 13:55:00,292.44,292.52,292.44,292.5,127383.0,45000.0,2018-09-21 13:55:00
2018-09-21 13:56:00,292.5,292.51,292.46,292.48,35199.0,45000.0,2018-09-21 13:56:00
2018-09-21 13:57:00,292.47,292.515,292.43,292.515,107693.0,45000.0,2018-09-21 13:57:00
2018-09-21 13:58:00,292.515,292.565,292.51,292.565,252860.0,45000.0,2018-09-21 13:58:00
2018-09-21 13:59:00,292.565,292.58,292.54,292.575,107290.0,45000.0,2018-09-21 13:59:00
2018-09-21 14:00:00,292.575,292.575,292.54,292.5551,64378.0,45000.0,2018-09-21 14:00:00
2018-09-21 14:01:00,292.55,292.55,292.525,292.53,36738.0,45000.0,2018-09-21 14:01:00
2018-09-21 14:02:00,292.5256,292.53,292.52,292.53,40569.0,45000.0,2018-09-21 14:02:00
2018-09-21 14:03:00,292.53,292.58,292.53,292.55,32150.0,45000.0,2018-09-21 14:03:00
2018-09-21 14:04:00,292.55,292.55,292.53,292.53,41098.0,45000.0,2018-09-21 14:04:00
2018-09-21 14:05:00,292.52,292.52,292.49,292.5,44718.0,45000.0,2018-09-21 14:05:00
2018-09-21 14:06:00,292.5,292.52,292.4975,292.4975,34686.0,45000.0,2018-09-21 14:06:00
2018-09-21 14:07:00,292.49,292.49,292.485,292.49,34717.0,45000.0,2018-09-21 14:07:00
2018-09-21 14:08:00,292.5,292.52,292.5,292.515,29616.0,45000.0,2018-09-21 14:08:00
2018-09-21 14:09:00,292.515,292.525,292.47,292.49,88382.0,45000.0,2018-09-21 14:09:00
2018-09-21 14:10:00,292.5,292.525,292.5,292.5,170392.0,45000.0,2018-09-21 14:10:00
2018-09-21 14:11:00,292.4999,292.5,292.47,292.47,45306.0,45000.0,2018-09-21 14:11:00
2018-09-21 14:12:00,292.47,292.47,292.41,292.43,51657.0,45000.0,2018-09-21 14:12:00
2018-09-21 14:13:00,292.43,292.43,292.31,292.32,306382.0,45000.0,2018-09-21 14:13:00
2018-09-21 14:14:00,292.32,292.34,292.24,292.24,121930.0,45000.0,2018-09-21 14:14:00
2018-09-21 14:15:00,292.25,292.3,292.24,292.28,101306.0,45000.0,2018-09-21 14:15:00
2018-09-21 14:16:00,292.28,292.31,292.255,292.26,61113.0,45000.0,2018-09-21 14:16:00
2018-09-21 14:17:00,292.27,292.27,292.26,292.2656,61078.0,45000.0,2018-09-21 14:17:00
2018-09-21 14:18:00,292.275,292.32,292.275,292.32,183230.0,45000.0,2018-09-21 14:18:00
2018-09-21 14:19:00,292.33,292.3373,292.27,292.28,264673.0,45000.0,2018-09-21 14:19:00
2018-09-21 14:20:00,292.3,292.34,292.3,292.34,38100.0,45000.0,2018-09-21 14:20:00
2018-09-21 14:21:00,292.32,292.42,292.32,292.4,48933.0,45000.0,2018-09-21 14:21:00
2018-09-21 14:22:00,292.4,292.41,292.375,292.39,23280.0,45000.0,2018-09-21 14:22:00
2018-09-21 14:23:00,292.4,292.44,292.395,292.43,77870.0,45000.0,2018-09-21 14:23:00
2018-09-21 14:24:00,292.42,292.42,292.39,292.39,31331.0,45000.0,2018-09-21 14:24:00
2018-09-21 14:25:00,292.4,292.43,292.4,292.41,125927.0,45000.0,2018-09-21 14:25:00
2018-09-21 14:26:00,292.41,292.42,292.3901,292.415,54755.0,45000.0,2018-09-21 14:26:00
